A1,Affinity Mission: The Repair Job,"Requirements: Chapter 3, Level 13, Lin ♥"
A2,Character Hangout: Lin
B1,Affinity Mission: A Day in the Life,"Requirements: Chapter 4, Level 16"
B2,Affinity Mission: Then and Now,"Requirements: Chapter 12, Level 58, Elma ♥♥♥♥"
B3,Affinity Mission: To Serve Nopon (aka Collecting Alien Recipes!),"Requirements: Chapter 12, Level 52, Lin ♥♥♥♥"
C1,Heart-to-Heart: Elma,Affinity: 5,Appears: Night,Requirements: 4th heart-to-heart
C2,Affinity Mission: Nagi's Time,"Requirements: Chapter 8, Level 32"
D1,Affinity Mission: A Challenger Approaches,"Requirements: Chapter 10, Level 42, Prospective Partners"
D2,Heart-to-heart: Nagi,Affinity: 4,Appears: All day,Requirements: 3rd heart-to-heart
D3,Affinity Mission: We Were Soldiers,"Requirements: Chapter 3, Level 12, Elma ♥"
E1,Character Hangout: Elma
E2,Affinity Mission: Two Peas in a Pod,"Requirements: Chapter 11, Level 47, A Day in the Life"
F1,Affinity Mission: Fathers and Sons,"Requirements: Chapter 11, Level 50, Irina ♥♥♥♥"
F2,Uncategorized: Story Missions Complete
F3,Affinity Mission: BFFs,"Requirements: Chapter 5, Level 22, The Ties That Bind"
G1,Affinity Mission: Prospective Partners,"Requirements: Chapter 9, Level 34, Mira Survey Rate > 18%, Spy Games"
G2,Affinity Mission: A Friend in Need,"Requirements: Chapter 5, Level 19"