A1,Heart-to-Heart: Celica,Affinity: 5,Appears: Night (on the roof),Requirements: 4th heart-to-heart
A2,Heart-to-Heart: Nagi,Affinity: 2,Appears: Morning,Requirements: 1st  heart-to-heart
A3,Mission: The Gauntlet,Client: Zo Ozuchi,"Requirements: Chapter 12, ...most of the other quests"
A4,Mission: Two Warriors,Client: Go Belg,"Requirements: Chapter 11, A Challenger Approaches"
A5,Mission: Data Probe Challenge,Client: Hugo,"Requirements: Chapter 8, The Probe-fessional"
B1,Mission: Good Fortun,Client: HT665: Erio,"Requirements: Chapter 10, Attack on Bianho Hills, Alex's Last Stand, Rites of Ruin"
B2,Heart-to-Heart: Celica,Affinity: 4,Appears: All Day,"Requirements: 3rd heart-to-heart, pet cat"
B3,Affinity Mission: New in New LA,"Requirements: Chapter 9, Level 44, Manhunt"
B4,Character Hangout: Celica
B5,Mission: Yardley's Scheme,Client: Yardley,Requirements: Chapter 3
B6,Mission: Off the Record (Biological),Client: Solan (complete the mission here),Requirements: Biological Level 4
B7,Affinity Mission: Boot Camp,"Requirements: Chapter 10, Level 41, Nine Lives, Gwin ♥"
B8,Treasure: Alien Wreckage (only appears after chapter 8),"Requires: Archaeological Level 2, Flight? (on roof)"
B9,Affinity Mission: A Girl's Wings,"Requirements: Chapter 9, Level 33, The Skell License, accepted quest: Flight Module"
C1,Mission: Muimui's Meltdown,Client: Moimoi,"Requirements: Chapter 9, Setting Forth"
C2,Mission: Turf War,Client: Enrai,"Requirements: Chapter 10, ""Waste Not, Want Not"""
C3,Heart-to-Heart: Doug,Affinity: 2,Appears: Morning,Requirements: 1st heart-to-heart
C4,Mission: A Proper Chopper,Client: Roscoe,Requirements: Chapter 4
C5,Heart-to-Heart: Murderess,Affinity: 3,Appears: All Day,"Requirements: 2nd heart-to-heart, The Little Rich Girl"
C6,Mission: Forest Foray,Client: Sullivan,"Requirements: Chapter 3, Noctilum Survey Rate > 15%"
C7,Mission: Pollution Solution,Client: Liza,"Requirements: Chapter 7, The Voltant Visionary, Prone Sweet Prone"
C8,Mission: Good Neighbors,Client: Tan'celeg,"Requirements: Chapter 7, Circle of Life, Lakeside Getaway"
C9,Heart-to-Heart: Irina,Affinity: 4,Appears: All Day,"Requirements: 3rd heart-to-heart, The Skell License"
C10,Heart-to-Heart: Lin,Affinity: 1,Appears: Night
C11,Mission: Data Probe Breakthrough,Client: Hugo,"Requirements: Chapter 11, Data Probe Progress"
C12,Mission: Data Probe Revolution,Client: Hugo,"Requirements: Chapter 12, Data Probe Evolution"
D1,Heart-to-Heart: Elma,Affinity: 1,Appears: Afternoon
D2,Mission: Lone Survivors,Client: Robert,"Requirements: Chapter 8, Circle of Life"
D3,Mission: Entrepreneurial Spirit,Client: Tobias,"Requirements: Chapter 8, The Root of All Evil"
D4,Mission: Child of Mira,Client: Orleron,"Requirements: Chapter 11, Pollution Solution"
D5,Treasure: Container,Requires: Mechanical Level 3
D6,Mission: Orphe Pluck,Client: San'luarb,"Requirements: Chapter 10, No Show Nen'celeg, Planetary Pioneer (Part IV)"
D7,Mission: Data Probe Progress,Client: Hugo,"Requirements: Chapter 10, Data Probe Challenge"
D8,Mission: Data Probe Evolution,Client: Hugo,"Requirements: Chapter 12, Data Probe Breakthrough"
D9,Mission: The Pip-Squeak,Client: Matthew,Requirements: Chapter 5
D10,Mission: Professorial (aka The Disappearance of Doctor B),Client: Veven,"Requirements: Chapter 12, Professor B's Return, one of the Definian quests?"
D11,Mission: Rise of the Blood Lobster,Client: The Blood Lobster,"Requirement: Chapter 3, A Hero's Ride"
D12,Heart-to-Heart: Mia,Affinity: 3,Appears: Late Night,Requirements: 2nd heart-to-heart
E1,Heart-to-Heart: Hope,Affinity: 3,Appears: Morning,Requirements: 2nd heart-to-heart
E2,Mission: Pack It In,Client: Nococche,"Requirements: Chapter 9, Dead Men Tell No Tales"
E3,Heart-to-Heart: Irina,Affinity: 1,Appears: Night
E4,Heart-to-Heart: Frye,Affinity: 5,Appears: All Day,Requirements: 4th heart-to-heart
E5,Character Hangout: Alexa
E6,Heart-to-Heart: Celica,Affinity: 1,Appears: Afternoon
F1,Mission: Mystery Man,Client: Professor B,Requirements: Chapter 5
F2,Mission: The Voltant Visionary,Client: Trachlo Lythren,"Requirements: Chapter 7, Dead Men Tell No Tales"
F3,Affinity Shift: Horonalderon,"Requirements: Slovity questline, The Good Thief?"
F4,Character Hangout: Frye
F5,Mission: The Good Thief,Client: Horonalderon,"Requirements: Chapter 9, Dead Men Tell No Tales, Water Woes"
F6,Affinity Mission: Fitting In,"Requirements: Chapter 11, Level 46, A Girl's Wings, Nopon Treaty, Celica ♥♥♥"
G1,Mission: Professor B's Return,Client: Veven,"Requirements: Chapter 7, Mystery Man"
G2,Mission: Gold Rush,Client: Adolphus (night),"Requirements: Chapter 11, The Celeste Three, A Challenger Approaches"
G3,Heart-to-Heart: Frye,Affinity: 1,Appears: Late Night
G4,Affinity Mission: Bottoms Up,"Requirements: Chapter 4, Level 19, Nighttime"